#Table1
ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,color_gr,color_ug
212.252590533641,62.3772558288542,15.87832,14.4338,13.91016,13.69213,13.61844,0.5236473,1.444515
212.252594551118,62.3772594055405,15.88381,14.46438,13.88941,13.70505,13.62934,0.574976,1.41943
238.518618304177,33.6173997878032,13.83337,11.67834,10.78262,10.54528,10.91672,0.8957195,2.155025
238.51868472086,3.24814437834403,16.25493,14.74065,14.15665,13.94064,13.8284,0.5840034,1.514272
238.518698904694,3.2481485093381,16.21461,14.74294,14.12851,13.9461,13.84333,0.6144304,1.47167
212.692441344192,38.5483463112085,16.01903,14.25226,12.68512,14.64378,12.16479,1.567136,1.766771
212.69249205753,3.48396711064163,16.34161,14.77705,14.2278,14.04028,13.95084,0.5492496,1.564562
16.4091778049077,9.67011684749388,13.96339,11.33154,10.37176,10.04593,10.14495,0.9597807,2.631846
16.4092276953371,34.6587640780724,14.26419,13.0356,12.72158,12.63157,12.6189,0.3140173,1.228588
16.4093568619234,20.355790398186,15.69263,13.48103,12.67245,12.37407,12.17337,0.8085871,2.211593
44.7873615122735,41.3702100484719,16.37837,13.92877,12.86947,12.54395,12.37303,1.059303,2.449599
44.7874213544314,-5.49827557712078,15.85409,14.08906,13.56373,15.78606,13.18146,0.5253334,1.765027
44.7875302340485,36.1924010331722,14.98314,14.37729,12.53741,12.24004,12.05469,1.839881,0.6058502
202.930935742251,50.3368288840746,15.73851,14.62907,14.31991,14.23877,14.18043,0.3091612,1.10944
202.930942173763,50.3368079824705,15.68802,14.6742,14.27579,14.906,14.18544,0.3984089,1.013824
264.316733342468,7.95303914620582,16.08452,14.49906,12.83744,15.73647,12.38268,1.661627,1.58546
264.316882180308,65.3251209527134,16.10124,14.78929,14.38089,14.2738,14.27567,0.4083929,1.311955
264.316909089887,65.3251056625775,16.06794,14.80356,14.4099,14.30941,14.27674,0.3936558,1.264387
264.316916429849,65.3250973430441,16.04938,14.7956,14.40741,14.29109,14.28896,0.3881817,1.253787
264.316925748017,65.3251052773722,16.06188,14.80089,14.41679,14.29313,14.27242,0.3840914,1.260996
16.1712770041395,2.39551889171227,16.27529,14.85198,14.45093,14.19715,14.10214,0.4010506,1.423303
16.1713049544333,14.3075869318995,15.38584,14.31893,13.97047,13.81375,13.86878,0.3484602,1.066909
16.1713229896064,14.3075915760249,15.41133,14.31611,13.97444,13.86215,13.82753,0.3416729,1.095216
16.1713247134589,14.3075724824513,15.43684,14.35505,14.01688,13.8586,13.89787,0.3381672,1.081796
16.171329857323,14.3075893140339,15.46381,14.32143,14.08543,13.87866,13.87607,0.2359972,1.142381
8.20136704323001,-2.45387346514356,16.33898,14.18159,14.26878,13.18291,13.03852,-0.08718967,2.157386
8.20137156403359,30.2560176906277,16.12067,13.93862,13.10593,12.75451,12.61312,0.8326874,2.182047
8.20140586021245,25.336646064985,16.05672,14.54637,14.0448,13.91561,13.86837,0.5015774,1.510345
8.20140837469592,25.3366445500453,16.01755,14.55624,14.05966,14.39654,13.86679,0.4965811,1.461303
132.434693091638,26.8754708078244,15.72481,14.56837,14.19127,14.07217,14.03136,0.3770952,1.156445
132.434703145279,26.8754667214486,15.7256,14.59289,14.18869,14.06316,14.04483,0.4042034,1.132705
132.43481558459,0.270071923157096,14.36819,12.38455,12.5323,12.76369,11.07614,-0.1477442,1.983636
132.434821291865,25.311719700035,14.99497,13.93285,13.58361,14.53661,13.41781,0.3492441,1.06212
132.434841944683,0.270101494619802,14.32298,12.37992,11.52686,11.13486,11.08362,0.8530636,1.943059
132.434857714057,1.07000213595893,15.90495,14.14113,13.56934,14.73861,13.28504,0.5717897,1.763816
309.609357626932,4.53084317966478,15.426,13.15788,12.28129,11.95724,11.72829,0.8765907,2.268112
309.609362591327,4.26637069450252,15.66836,13.89715,12.47898,15.32746,12.74574,1.418166,1.771214
309.609371626533,-16.4795434650067,14.24418,13.03021,12.92302,12.93721,12.95601,0.1071863,1.213969
309.609376831132,4.53083014490237,15.43987,13.16517,12.28567,11.96694,11.77623,0.8794937,2.274706
192.342000202004,44.4993800224371,16.00289,14.15004,13.35322,13.12497,13.01548,0.7968254,1.852847
192.342218941466,3.74800100765514,14.66298,13.65757,13.65152,13.13829,13.06278,0.006048203,1.005411
23.2206677721555,53.8829958550272,15.59141,14.27927,13.81533,15.08901,13.54196,0.4639482,1.312132
23.2206887863593,26.0968443485163,16.16344,14.86105,14.32305,14.15075,14.00993,0.5380011,1.30239
23.2207006361865,26.0968249028005,16.22526,14.88316,14.51772,17.27582,14.0289,0.3654423,1.342093
102.157756549569,18.5834152815785,17.14451,14.93331,14.0937,13.708,13.51716,0.8396082,2.211201
102.157895010035,11.3900606895784,15.9339,14.52079,14.4139,14.43409,14.40093,0.1068907,1.413113
102.158176824074,66.4687795959999,17.18321,14.79237,13.83255,16.96741,13.3416,0.959815,2.390839
203.15872596974,17.3790996007209,16.55469,14.88459,14.20038,13.95957,13.81246,0.6842089,1.670098
203.158764034445,18.9033756978636,14.59117,13.35326,13.15743,12.78352,12.75031,0.1958256,1.237911
203.158809422904,39.6567047479741,14.97393,13.6811,13.71845,14.27923,13.09526,-0.03734684,1.292834
203.158900008159,52.1814512126954,15.8682,14.61458,14.11329,13.95324,13.91776,0.501298,1.253619
203.158907676783,52.1814582905856,15.89209,14.58379,14.1696,13.97201,13.92503,0.4141884,1.308307
245.118061874649,25.0602314245005,15.72272,14.44593,14.0092,13.85567,13.77507,0.4367285,1.276788
245.118065458877,25.0602387750262,15.75597,14.47058,13.98307,13.82243,13.80883,0.4875059,1.285394
245.118068805385,25.0602392718061,15.7577,14.46118,13.99442,13.83831,13.79033,0.4667616,1.296526
221.961674456983,7.41648562475203,15.11104,12.46738,11.05124,10.34341,10.09544,1.416142,2.643663
221.961707233871,-5.93447011364936,14.7841,13.56637,13.14596,12.98821,12.91858,0.420413,1.217733
221.961713399753,-5.93448105775338,14.72402,13.61059,13.15198,12.99608,12.93725,0.4586086,1.113431
221.961786017889,3.76247805060544,16.80406,14.82781,14.15378,13.94285,13.8497,0.6740303,1.976246
221.961812448994,46.4785939158451,15.6475,14.46455,14.14593,13.92939,13.87338,0.3186121,1.182949
115.779273409122,10.9251425734291,16.08672,14.9064,14.55752,15.44429,14.41919,0.3488836,1.180319
115.77932441301,12.711103251123,14.77293,12.79553,11.87169,11.57167,12.37821,0.9238405,1.977396
115.779331550124,12.7111047484727,14.76755,12.60628,11.87194,11.59133,11.54856,0.7343464,2.161269
115.779336967482,12.7111102573376,14.7811,12.75362,11.8605,11.57287,11.51442,0.8931246,2.02748
115.779341313232,12.7111059832328,14.78934,12.6543,11.87668,11.58454,11.42725,0.7776184,2.135036
115.779342239675,12.7111121861968,14.7869,12.597,11.85861,11.57286,11.43368,0.7383862,2.189899
115.779369376482,16.1463429782112,15.38137,14.28586,14.10479,13.93357,13.98438,0.1810694,1.095508
115.77937259769,16.1463357774208,15.3916,14.28611,14.01757,13.92901,13.92306,0.2685423,1.105486
29.9973671741183,28.1479606412761,15.52298,14.25743,13.7961,13.67755,13.611,0.4613352,1.265547
160.226483888588,44.1358884284906,13.56692,12.23698,11.77558,11.66182,11.63843,0.461401,1.329938
160.226719343569,9.80708989235134,13.6586,12.19445,11.5623,11.33891,12.23351,0.6321478,1.464149
277.844837199519,19.8701067348291,15.85572,14.65076,14.18614,14.02546,13.92822,0.4646244,1.204962
354.036663383427,9.50268049914917,13.17586,11.99574,11.63002,11.49886,11.56445,0.3657179,1.180124
37.1805937496782,-4.52916550358785,16.1334,14.51314,13.93237,13.75365,13.66658,0.5807781,1.620254
37.180618323685,-2.22720725795714,16.02027,14.34309,13.76753,13.59717,13.54242,0.5755529,1.677185
221.525702429917,-7.83499419616059,16.0788,13.67851,12.82894,12.51189,12.28875,0.8495684,2.400289
333.590477559998,5.30359534389248,15.20648,14.80425,14.45675,12.87242,12.81468,0.3474989,0.4022255
333.590484035083,41.9675343490069,15.80359,14.49264,14.04293,14.89761,13.78575,0.4497137,1.310943
333.590600531592,20.8957960859359,14.7878,13.37773,12.90505,12.76005,12.72935,0.4726868,1.410066
333.590603535471,27.9361415341821,15.45785,14.7287,14.17516,13.96626,13.88633,0.5535469,0.7291431
333.590613242277,27.9361485604306,16.1826,14.73804,14.17524,13.96673,13.88958,0.5628023,1.44456
333.590623015292,20.8958366818636,14.85522,13.39984,12.93712,12.8083,12.77015,0.4627237,1.455381
182.208264973746,10.2213116313911,12.89866,11.60193,11.15753,11.01935,12.01708,0.4443998,1.296731
182.208287986337,10.2212750571259,12.86557,11.60253,11.16067,11.02442,11.0399,0.4418583,1.26304
182.208298312473,49.9462325383103,14.72473,13.34246,12.89968,12.7778,12.74877,0.4427843,1.382264
182.208352109445,23.1061349139508,15.4187,14.34026,13.97297,13.87352,13.87796,0.3672848,1.078445
251.103537994291,28.4297750790657,15.7197,14.63686,14.32727,14.21252,14.20051,0.3095837,1.082842
251.103539316772,28.4297677447495,15.70324,14.6485,14.31889,14.21576,14.20613,0.3296137,1.054737
251.103553776801,28.4297924977284,15.66261,14.6632,14.3358,14.20068,14.20434,0.3273973,0.9994125
245.105586230713,-12.5164630784202,16.46635,14.91587,14.09913,13.72773,13.47315,0.8167391,1.550484
245.105676744684,58.4936501667331,14.47632,13.34223,12.93317,12.83495,12.82798,0.4090614,1.134089
170.694902855766,-9.18775587934025,16.1215,14.96813,14.56828,14.42708,14.375,0.3998528,1.153362
170.694981705745,17.4344826050387,15.30796,14.43257,14.38937,13.87637,12.36753,0.04319668,0.8753939
170.694987549227,49.5724772834259,16.35703,14.30156,13.57639,13.33655,13.20059,0.7251673,2.055477
170.695113915745,20.6541428438115,14.8508,13.72857,14.03748,13.17119,13.13655,-0.3089085,1.122233
170.695125084158,20.6541690585137,14.78349,13.72802,13.90336,13.17037,13.15046,-0.1753435,1.05547
244.989466834667,40.2652323473033,15.14916,14.03538,12.47092,12.2796,13.4266,1.564461,1.11378
264.332649176236,21.3180193387859,15.00149,13.3504,12.58421,12.33781,12.19456,0.7661924,1.651081
264.332714678591,6.92485131720578,16.18433,14.5496,13.78444,13.55204,13.35912,0.7651577,1.634728
264.33273891209,6.9248616383538,16.15809,14.55602,13.83792,13.54871,13.37244,0.7181015,1.602062
264.332756914406,64.5634147343285,15.96111,14.67543,14.27294,14.19798,14.19819,0.4024954,1.285677
264.332757126718,64.5634208450728,15.94323,14.68171,14.27996,14.17125,14.16164,0.4017487,1.261518
264.332774876346,64.563416348923,15.92547,14.67966,14.27075,14.16306,14.17776,0.4089184,1.245809
264.332797501417,52.9018807074798,14.95749,13.57143,13.12341,13.01071,12.92825,0.4480181,1.386057
115.321968109976,46.8167775929395,16.24187,14.80136,14.32158,14.13841,14.09659,0.4797802,1.440509
115.322012440329,1.21934039647481,15.12756,13.25793,12.52381,12.1688,11.98626,0.7341185,1.869633
347.442942272788,29.2184315075221,15.58565,14.11636,14.56431,13.3904,13.31477,-0.4479475,1.469285
347.442944445641,56.1303844714406,13.76008,13.04501,12.70946,13.92393,12.57736,0.3355513,0.7150755
347.442954070225,29.2184217431858,15.65392,14.17723,13.59237,13.40003,13.29836,0.5848627,1.476688
347.44295640259,56.130382902626,13.77712,13.06455,12.71574,12.63547,12.55509,0.3488073,0.7125721
347.442990925573,19.2539483347422,15.64891,14.19968,13.5273,13.24223,13.12163,0.6723785,1.449233
347.44308617839,56.3068810123263,16.86269,14.22494,13.15727,12.67829,12.17097,1.067668,2.637749
84.5485053504599,20.1902469768666,18.38181,14.99662,13.50495,12.86805,12.43984,1.491672,3.385193
84.5485169474498,0.607990448238738,15.95243,14.38672,13.76092,13.44009,13.09801,0.6257944,1.56571
84.5485216800963,0.608037589752762,15.96149,14.38363,13.65343,13.38277,13.0901,0.7301989,1.577856
84.5485231026116,0.608033416041977,15.97975,14.40237,13.64949,13.32269,13.0708,0.7528791,1.577383
84.5485286287671,0.608017315293576,15.96052,14.38384,13.63851,13.28972,13.07857,0.7453299,1.576674
84.5485302611683,0.608015219887224,15.94607,14.37869,13.64542,13.3522,13.08782,0.7332678,1.567381
84.5485307051597,0.608021743322376,15.96906,14.36614,13.65661,13.37236,13.0902,0.7095261,1.602922
84.5485470796865,0.608049767077528,15.92501,14.37799,13.65182,13.28885,13.07429,0.7261686,1.547016
84.5485883351407,-6.33635117450105,14.99399,13.39761,12.32817,11.96408,11.76125,1.069444,1.596379
84.5486018360265,-6.33635875214474,14.98614,13.87065,12.33137,11.97759,11.84194,1.539286,1.115489
333.032817452091,43.6770532073356,16.28107,13.78922,12.71578,13.53934,12.02435,1.073434,2.491851
300.824542170613,-9.609304445357,14.94054,14.19124,13.80674,15.71236,12.67555,0.3844957,0.7493048
300.824560699086,-9.60932563076672,14.90328,14.43132,13.02273,15.73976,12.66357,1.408589,0.471961
